Model,MSO2024,
Firmware Version,CF:91.1CT FV:v1.39,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.002,0.002
Horizontal Delay,0.0181402,0.0181402
Sample Interval,1.6E-07,1.6E-07
Record Length,125000,125000
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1X,1X
Vertical Units,"V","V"
Vertical Offset,11,-10.5
Vertical Scale,5,5
Vertical Position,0.44,-0.42
,,
,,
,,
Label,"",""
TIME,CH1,CH2
0.00826292,0,0.1
0.00826308,0,0.1
0.00826324,0,0.1
0.0082634,0,0.1
0.00826356,0,0.1
0.00826372,0,0.1
0.00826388,0,0.1
0.00826404,0,0.1
0.0082642,0,0.1
0.00826436,0,0.1
0.00826452,0,0.1
0.00826468,0,0.1
0.00826484,0,0.1
0.008265,0,0.1
0.00826516,0,0.1
0.00826532,0,0.1
0.00826548,0,0.1
0.00826564,0,0.1
0.0082658,0,0.1
0.00826596,0,0.1
0.00826612,0,0.1
0.00826628,0,0.1
0.00826644,0,0.1
0.0082666,0,0.1
0.00826676,0,0.1
0.00826692,0,0.1
0.00826708,0,0.1
0.00826724,0,0.1
0.0082674,0,0.1
0.00826756,0,0.1
0.00826772,0,0.1
0.00826788,0,0.1
0.00826804,0,0.1
0.0082682,0,0.1
0.00826836,0,0.1
0.00826852,0,0.1
0.00826868,0,0.1
0.00826884,0,0.1
0.008269,0,0.1
0.00826916,0,0.1
0.00826932,0,0.1
0.00826948,0,0.1
0.00826964,0,0.1
0.0082698,0,0.1
0.00826996,0,0.1
0.00827012,0,0.1
0.00827028,0,0.1
0.00827044,0,0.1
0.0082706,0,0.1
0.00827076,0,0.1
0.00827092,0,0.1
0.00827108,0,0.1
0.00827124,0,0.1
0.0082714,0,0.1
0.00827156,0,0.1
0.00827172,0,0.1
0.00827188,0,0.1
0.00827204,0,0.1
0.0082722,0,0.1
0.00827236,0,0.1
0.00827252,0,0.1
0.00827268,0,0.1
0.00827284,0,0.1
0.008273,0,0.1
0.00827316,0,0.1
0.00827332,0,0.1
0.00827348,0,0.1
0.00827364,0,0.1
0.0082738,0,0.1
0.00827396,0,0.1
0.00827412,0,0.1
0.00827428,0,0.1
0.00827444,0,0.1
0.0082746,0,0.1
0.00827476,0,0.1
0.00827492,0,0.1
0.00827508,0,0.1
0.00827524,0,0.1
0.0082754,0,0.1
0.00827556,0,0.1
0.00827572,0,0.1
0.00827588,0,0.1
0.00827604,0,0.1
0.0082762,0,0.1
0.00827636,0,0.1
0.00827652,0,0.1
0.00827668,0,0.1
0.00827684,0,0.1
0.008277,0,0.1
0.00827716,0,0.1
0.00827732,0,0.1
0.00827748,0,0.1
0.00827764,0,0.1
0.0082778,0,0.1
0.00827796,0,0.1
0.00827812,0,0.1
0.00827828,0,0.1
0.00827844,0,0.1
0.0082786,0,0.1
0.00827876,0,0.1
0.00827892,0,0.1
0.00827908,0,0.1
0.00827924,0,0.1
0.0082794,0,0.1
0.00827956,0,0.1
0.00827972,0,0.1
0.00827988,0,0.1
0.00828004,0,0.1
0.0082802,0,0.1
0.00828036,0,0.1
0.00828052,0,0.1
0.00828068,0,0.1
0.00828084,0,0.1
0.008281,0,0.1
0.00828116,0,0.1
0.00828132,0,0.1
0.00828148,0,0.1
0.00828164,0,0.1
0.0082818,0,0.1
0.00828196,0,0.1
0.00828212,0,0.1
0.00828228,0,0.1
0.00828244,0,0.1
0.0082826,0,0.1
0.00828276,0,0.1
0.00828292,0,0.1
0.00828308,0,0.1
0.00828324,0,0.1
0.0082834,0,0.1
0.00828356,0,0.1
0.00828372,0,0.1
0.00828388,0,0.1
0.00828404,0,0.1
0.0082842,0,0.1
0.00828436,0,0.1
0.00828452,0,0.1
0.00828468,0,0.1
0.00828484,0,0.1
0.008285,0,0.1
0.00828516,0,0.1
0.00828532,0,0.1
0.00828548,0,0.1
0.00828564,0,0.1
0.0082858,0,0.1
0.00828596,0,0.1
0.00828612,0,0.1
0.00828628,0,0.1
0.00828644,0,0.1
0.0082866,0,0.1
0.00828676,0,0.1
0.00828692,0,0.1
0.00828708,0,0.1
0.00828724,0,0.1
0.0082874,0,0.1
0.00828756,0,0.1
0.00828772,0,0.1
0.00828788,0,0.1
0.00828804,0,0.1
0.0082882,0,0.1
0.00828836,0,0.1
0.00828852,0,0.1
0.00828868,0,0.1
0.00828884,0,0.1
0.008289,0,0.1
0.00828916,0,0.1
0.00828932,0,0.1
0.00828948,0,0.1
0.00828964,0,0.1
0.0082898,0,0.1
0.00828996,0,0.1
0.00829012,0,0.1
0.00829028,0,0.1
0.00829044,0,0.1
0.0082906,0,0.1
0.00829076,0,0.1
0.00829092,0,0.1
0.00829108,0,0.1
0.00829124,0,0.1
0.0082914,0,0.1
0.00829156,0,0.1
0.00829172,0,0.1
0.00829188,0,0.1
0.00829204,0,0.1
0.0082922,0,0.1
0.00829236,0,0.1
0.00829252,0,0.1
0.00829268,0,0.1
